|!!|List of cities and towns in Estonia:

Rank	Town	Town rights	Population 2014[2]	Population 2018[3]	County (maakond)
25	Põltsamaa[a]	1926	4,148	4,050	Jõgeva |$$| True |$$| [ ["isa","Tallinn https://en.wikipedia.org/wiki/Tallinn","town"], ["Town rights","Tallinn https://en.wikipedia.org/wiki/Tallinn",1248], ["Population","Tallinn https://en.wikipedia.org/wiki/Tallinn",430805], ["County","Tallinn https://en.wikipedia.org/wiki/Tallinn","Harju"], ["isa","Tartu https://en.wikipedia.org/wiki/Tartu","town"], ["Town rights","Tartu https://en.wikipedia.org/wiki/Tartu","13th c."], ["Population","Tartu https://en.wikipedia.org/wiki/Tartu",93715], ["County","Tartu https://en.wikipedia.org/wiki/Tartu","Tartu"], ["isa","Narva https://en.wikipedia.org/wiki/Narva","town"], ["Town rights","Narva https://en.wikipedia.org/wiki/Narva",1345], ["Population","Narva https://en.wikipedia.org/wiki/Narva",56103], ["County","Narva https://en.wikipedia.org/wiki/Narva","Ida-Viru"], ["isa","Pärnu https://en.wikipedia.org/wiki/P%C3%A4rnu","town"], ["Town rights","Pärnu https://en.wikipedia.org/wiki/P%C3%A4rnu",1251], ["Population","Pärnu https://en.wikipedia.org/wiki/P%C3%A4rnu",39375], ["County","Pärnu https://en.wikipedia.org/wiki/P%C3%A4rnu","Pärnu"], ["isa","Kohtla-Järve https://en.wikipedia.org/wiki/Kohtla-J%C3%A4rve","town"], ["Town rights","Kohtla-Järve https://en.wikipedia.org/wiki/Kohtla-J%C3%A4rve",1946], ["Population","Kohtla-Järve https://en.wikipedia.org/wiki/Kohtla-J%C3%A4rve",34394], ["County","Kohtla-Järve https://en.wikipedia.org/wiki/Kohtla-J%C3%A4rve","Ida-Viru"], ["isa","Viljandi https://en.wikipedia.org/wiki/Viljandi","town"], ["Town rights","Viljandi https://en.wikipedia.org/wiki/Viljandi",1283], ["Population","Viljandi https://en.wikipedia.org/wiki/Viljandi",17525], ["County","Viljandi https://en.wikipedia.org/wiki/Viljandi","Viljandi"], ["isa","Rakvere https://en.wikipedia.org/wiki/Rakvere","town"], ["Town rights","Rakvere https://en.wikipedia.org/wiki/Rakvere",1302], ["Population","Rakvere https://en.wikipedia.org/wiki/Rakvere",15413], ["County","Rakvere https://en.wikipedia.org/wiki/Rakvere","Lääne-Viru"], ["isa","Maardu https://en.wikipedia.org/wiki/Maardu","town"], ["Town rights","Maardu https://en.wikipedia.org/wiki/Maardu",1980], ["Population","Maardu https://en.wikipedia.org/wiki/Maardu",15189], ["County","Maardu https://en.wikipedia.org/wiki/Maardu","Harju"], ["isa","Kuressaare https://en.wikipedia.org/wiki/Kuressaare","town"], ["Town rights","Kuressaare https://en.wikipedia.org/wiki/Kuressaare",1563], ["Population","Kuressaare https://en.wikipedia.org/wiki/Kuressaare",13276], ["County","Kuressaare https://en.wikipedia.org/wiki/Kuressaare","Saare"], ["isa","Sillamäe https://en.wikipedia.org/wiki/Sillam%C3%A4e","town"], ["Town rights","Sillamäe https://en.wikipedia.org/wiki/Sillam%C3%A4e",1957], ["Population","Sillamäe https://en.wikipedia.org/wiki/Sillam%C3%A4e",12989], ["County","Sillamäe https://en.wikipedia.org/wiki/Sillam%C3%A4e","Ida-Viru"], ["isa","Valga https://en.wikipedia.org/wiki/Valga,_Estonia","town"], ["Town rights","Valga https://en.wikipedia.org/wiki/Valga,_Estonia",1584], ["Population","Valga https://en.wikipedia.org/wiki/Valga,_Estonia",12334], ["County","Valga https://en.wikipedia.org/wiki/Valga,_Estonia","Valga"], ["isa","Võru https://en.wikipedia.org/wiki/V%C3%B5ru","town"], ["Town rights","Võru https://en.wikipedia.org/wiki/V%C3%B5ru",1784], ["Population","Võru https://en.wikipedia.org/wiki/V%C3%B5ru",12022], ["County","Võru https://en.wikipedia.org/wiki/V%C3%B5ru","Võru"], ["isa","Jõhvi https://en.wikipedia.org/wiki/J%C3%B5hvi","town"], ["Town rights","Jõhvi https://en.wikipedia.org/wiki/J%C3%B5hvi",1938], ["Population","Jõhvi https://en.wikipedia.org/wiki/J%C3%B5hvi",10398], ["County","Jõhvi https://en.wikipedia.org/wiki/J%C3%B5hvi","Ida-Viru"], ["isa","Haapsalu https://en.wikipedia.org/wiki/Haapsalu","town"], ["Town rights","Haapsalu https://en.wikipedia.org/wiki/Haapsalu",1279], ["Population","Haapsalu https://en.wikipedia.org/wiki/Haapsalu",9838], ["County","Haapsalu https://en.wikipedia.org/wiki/Haapsalu","Lääne"], ["isa","Keila https://en.wikipedia.org/wiki/Keila","town"], ["Town rights","Keila https://en.wikipedia.org/wiki/Keila",1938], ["Population","Keila https://en.wikipedia.org/wiki/Keila",9775], ["County","Keila https://en.wikipedia.org/wiki/Keila","Harju"], ["isa","Paide https://en.wikipedia.org/wiki/Paide","town"], ["Town rights","Paide https://en.wikipedia.org/wiki/Paide",1291], ["Population","Paide https://en.wikipedia.org/wiki/Paide",8078], ["County","Paide https://en.wikipedia.org/wiki/Paide","Järva"], ["isa","Elva https://en.wikipedia.org/wiki/Elva,_Estonia","town"], ["Town rights","Elva https://en.wikipedia.org/wiki/Elva,_Estonia",1938], ["Population","Elva https://en.wikipedia.org/wiki/Elva,_Estonia",5648], ["County","Elva https://en.wikipedia.org/wiki/Elva,_Estonia","Tartu"], ["isa","Saue https://en.wikipedia.org/wiki/Saue","town"], ["Town rights","Saue https://en.wikipedia.org/wiki/Saue",1993], ["Population","Saue https://en.wikipedia.org/wiki/Saue",5640], ["County","Saue https://en.wikipedia.org/wiki/Saue","Harju"], ["isa","Põlva https://en.wikipedia.org/wiki/P%C3%B5lva","town"], ["Town rights","Põlva https://en.wikipedia.org/wiki/P%C3%B5lva",1993], ["Population","Põlva https://en.wikipedia.org/wiki/P%C3%B5lva",5458], ["County","Põlva https://en.wikipedia.org/wiki/P%C3%B5lva","Põlva"], ["isa","Tapa https://en.wikipedia.org/wiki/Tapa,_Estonia","town"], ["Town rights","Tapa https://en.wikipedia.org/wiki/Tapa,_Estonia",1926], ["Population","Tapa https://en.wikipedia.org/wiki/Tapa,_Estonia",5428], ["County","Tapa https://en.wikipedia.org/wiki/Tapa,_Estonia","Lääne-Viru"], ["isa","Jõgeva https://en.wikipedia.org/wiki/J%C3%B5geva","town"], ["Town rights","Jõgeva https://en.wikipedia.org/wiki/J%C3%B5geva",1938], ["Population","Jõgeva https://en.wikipedia.org/wiki/J%C3%B5geva",5143], ["County","Jõgeva https://en.wikipedia.org/wiki/J%C3%B5geva","Jõgeva"], ["isa","Rapla https://en.wikipedia.org/wiki/Rapla","town"], ["Town rights","Rapla https://en.wikipedia.org/wiki/Rapla",1993], ["Population","Rapla https://en.wikipedia.org/wiki/Rapla",5132], ["County","Rapla https://en.wikipedia.org/wiki/Rapla","Rapla"], ["isa","Kiviõli https://en.wikipedia.org/wiki/Kivi%C3%B5li","town"], ["Town rights","Kiviõli https://en.wikipedia.org/wiki/Kivi%C3%B5li",1946], ["Population","Kiviõli https://en.wikipedia.org/wiki/Kivi%C3%B5li",5088], ["County","Kiviõli https://en.wikipedia.org/wiki/Kivi%C3%B5li","Ida-Viru"], ["isa","Türi https://en.wikipedia.org/wiki/T%C3%BCri","town"], ["Town rights","Türi https://en.wikipedia.org/wiki/T%C3%BCri",1926], ["Population","Türi https://en.wikipedia.org/wiki/T%C3%BCri",5064], ["County","Türi https://en.wikipedia.org/wiki/T%C3%BCri","Järva"], ["isa","Põltsamaa https://en.wikipedia.org/wiki/P%C3%B5ltsamaa","town"], ["Town rights","Põltsamaa https://en.wikipedia.org/wiki/P%C3%B5ltsamaa",1926], ["Population","Põltsamaa https://en.wikipedia.org/wiki/P%C3%B5ltsamaa",4050], ["County","Põltsamaa https://en.wikipedia.org/wiki/P%C3%B5ltsamaa","Jõgeva"] ] 
|!!|List of cities and towns in Estonia:

Rank	Town	Town rights	Population 2014[2]	Population 2018[3]	County (maakond)
26	Sindi[a]	1938	4,089	3,838	Pärnu
27	Paldiski[a]	1783	4,163	3,626	Harju
28	Kärdla[a]	1938	3,017	3,287	Hiiu
29	Kunda[a]	1938	3,267	3,034	Lääne-Viru
30	Tõrva[a]	1926	2,716	2,740	Valga
31	Narva-Jõesuu[a]	1993	2,655	2,644	Ida-Viru
32	Kehra[a]	1993	2,792	2,641	Harju
33	Loksa	1993	2,703	2,568	Harju
34	Räpina[a]	1993	2,363	2,173	Põlva
35	Otepää[a]	1936	1,875	2,167	Valga
36	Tamsalu[a]	1996	2,174	2,119	Lääne-Viru
37	Kilingi-Nõmme[a]	1938	1,707	1,671	Pärnu
38	Karksi-Nuia[a]	1993	1,515	1,554	Viljandi
39	Antsla[a]	1938	1,362	1,311	Võru
40	Võhma[a]	1993	1,282	1,282	Viljandi
41	Mustvee[a]	1938	1,348	1,269	Jõgeva
42	Lihula[a]	1993	1,252	1,214	Lääne
43	Suure-Jaani[a]	1938	1,036	1,064	Viljandi
44	Abja-Paluoja[a]	1993	1,063	1,057	Viljandi
45	Püssi[a]	1993	1,023	917	Ida-Viru
46	Mõisaküla[a]	1938	806	748	Viljandi
47	Kallaste[a]	1938	846	743	Tartu |$$| True |$$| [ ["isa","Sindi 1","town"], ["Town rights","Sindi 1",1938], ["Population","Sindi 1",3838], ["County","Sindi 1","Pärnu"], ["isa","Paldiski 2","town"], ["Town rights","Paldiski 2",1783], ["Population","Paldiski 2",3626], ["County","Paldiski 2","Harju"], ["isa","Kärdla 3","town"], ["Town rights","Kärdla 3",1938], ["Population","Kärdla 3",3287], ["County","Kärdla 3","Hiiu"], ["isa","Kunda 4","town"], ["Town rights","Kunda 4",1938], ["Population","Kunda 4",3034], ["County","Kunda 4","Lääne-Viru"], ["isa","Tõrva 5","town"], ["Town rights","Tõrva 5",1926], ["Population","Tõrva 5",2740], ["County","Tõrva 5","Valga"], ["isa","Narva-Jõesuu 6","town"], ["Town rights","Narva-Jõesuu 6",1993], ["Population","Narva-Jõesuu 6",2644], ["County","Narva-Jõesuu 6","Ida-Viru"], ["isa","Kehra 7","town"], ["Town rights","Kehra 7",1993], ["Population","Kehra 7",2641], ["County","Kehra 7","Harju"], ["isa","Loksa 8","town"], ["Town rights","Loksa 8",1993], ["Population","Loksa 8",2568], ["County","Loksa 8","Harju"], ["isa","Räpina 9","town"], ["Town rights","Räpina 9",1993], ["Population","Räpina 9",2173], ["County","Räpina 9","Põlva"], ["isa","Otepää 10","town"], ["Town rights","Otepää 10",1936], ["Population","Otepää 10",2167], ["County","Otepää 10","Valga"], ["isa","Tamsalu 11","town"], ["Town rights","Tamsalu 11",1996], ["Population","Tamsalu 11",2119], ["County","Tamsalu 11","Lääne-Viru"], ["isa","Kilingi-Nõmme 12","town"], ["Town rights","Kilingi-Nõmme 12",1938], ["Population","Kilingi-Nõmme 12",1671], ["County","Kilingi-Nõmme 12","Pärnu"], ["isa","Karksi-Nuia 13","town"], ["Town rights","Karksi-Nuia 13",1993], ["Population","Karksi-Nuia 13",1554], ["County","Karksi-Nuia 13","Viljandi"], ["isa","Antsla 14","town"], ["Town rights","Antsla 14",1938], ["Population","Antsla 14",1311], ["County","Antsla 14","Võru"], ["isa","Võhma 15","town"], ["Town rights","Võhma 15",1993], ["Population","Võhma 15",1282], ["County","Võhma 15","Viljandi"], ["isa","Mustvee 16","town"], ["Town rights","Mustvee 16",1938], ["Population","Mustvee 16",1269], ["County","Mustvee 16","Jõgeva"], ["isa","Lihula 17","town"], ["Town rights","Lihula 17",1993], ["Population","Lihula 17",1214], ["County","Lihula 17","Lääne"], ["isa","Suure-Jaani 18","town"], ["Town rights","Suure-Jaani 18",1938], ["Population","Suure-Jaani 18",1064], ["County","Suure-Jaani 18","Viljandi"], ["isa","Abja-Paluoja 19","town"], ["Town rights","Abja-Paluoja 19",1993], ["Population","Abja-Paluoja 19",1057], ["County","Abja-Paluoja 19","Viljandi"], ["isa","Püssi 20","town"], ["Town rights","Püssi 20",1993], ["Population","Püssi 20",917], ["County","Püssi 20","Ida-Viru"], ["isa","Mõisaküla 21","town"], ["Town rights","Mõisaküla 21",1938], ["Population","Mõisaküla 21",748], ["County","Mõisaküla 21","Viljandi"], ["isa","Kallaste 22","town"], ["Town rights","Kallaste 22",1938], ["Population","Kallaste 22",743], ["County","Kallaste 22","Tartu"] ] 
